REFSIGPAC,IDUSO25,SUPERFICIE_m2,mean_result,n_cells
2320800122001,TA,3276.32,0.0,5
2320800123001,TA,6348.58,0.0,11
2320800124001,TA,7979.76,0.0,13
2320800125001,TA,3329.65,0.0,6
2320800126001,TA,1451.82,0.0,2
2320800127001,TA,3360.88,0.0,6
2320800128001,TA,2701.01,0.0,5
2320800129001,TA,2012.56,0.0,4
2320800130001,TA,1634.68,0.0,2
2320800131001,TA,3569.39,0.0,6
2320800132001,TA,6509.94,0.0,10
2320800133001,TA,1987.95,0.0,3
2320800134001,TA,1297.56,0.0,1
2320800135001,TA,4299.42,0.0,7
2320800136001,TA,4051.36,0.0,7
2320800137001,TA,1815.78,0.0,3
2320800138001,TA,3021.27,0.0,5
2320800139001,TA,3578.19,0.0,6
2320800140001,TA,4519.98,0.0,7
2320800141001,TA,4522.1,0.0,7
2320800142001,TA,784.64,0.0,2
2320800144001,TA,1009.44,0.0,2
2320800145001,TA,8878.33,0.0,13
2320800146001,TA,6789.24,0.0,11
2320800149001,TA,7474.3,0.0,11
2320800152001,TA,6745.02,0.0,10
2320800154001,TA,1876.0,0.0,2
2320800155001,TA,1271.39,0.0,3
2320800156003,TA,659.07,0.0,1
2320800157001,TA,9451.61,0.0,15
2320800158001,TA,5123.55,0.0,8
2320800159001,TA,4609.86,0.0,7
2320800160001,TA,2104.71,0.0,4
2320800161001,TA,10877.44,0.0,18
2320800164001,TA,8222.22,0.0,12
2320800166001,TA,1339.36,0.0,2
2320800167001,TA,1163.28,0.0,3
2320800168001,TA,1209.43,0.0,1
2320800169001,TA,957.02,0.0,1
2320800170001,TA,8295.57,0.0,14
2320800171001,TA,948.36,0.0,2
2320800172001,TA,4870.57,0.0,5
2320800173001,TA,5766.61,0.0,10
2320800174001,TA,1632.94,0.0,4
2320800175001,TA,1257.95,0.0,1
2320800176001,TA,7868.92,0.0,12
2320800177001,TA,1203.97,0.0,3
2320800178001,TA,3897.39,0.0,6
2320800179001,TA,1197.28,0.0,2
2320800181001,TA,6901.78,0.0,11
2320800182001,TA,10006.94,0.0,16
2320800183001,TA,1608.34,0.0,4
2320800183002,TA,1418.09,0.0,2
2320800184001,TA,746.98,0.0,2
2320800185001,TA,2291.85,0.0,4
2320800186001,TA,7277.92,0.0,12
2320800187001,TA,3489.52,0.0,6
2320800188001,TA,10493.18,0.0,18
2320800189001,TA,718.07,0.0,1
2320800190001,TA,35200.44,0.0,57
2320800194001,TA,35312.36,0.0,57
2320800194008,TA,686.08,0.0,2
2320800195001,TA,57019.94,0.0,89
2320800196001,TA,1449.29,0.0,3
2320800197001,TA,33923.52,0.0,52
2320800197003,TA,586.09,0.0,1
2320800198001,TA,12383.98,0.0,21
2320800199001,TA,8365.71,0.0,14
2320800200001,TA,6181.89,0.0,9
2320800201001,TA,2286.83,0.0,3
2320800202001,TA,8837.91,0.0,15
2320800203001,TA,2310.11,0.0,4
2320800204001,TA,1685.9,0.0,2
2320800207001,TA,6392.61,0.0,11
2320800208001,TA,9805.58,0.0,18
2320800209001,TA,3807.4,0.0,6
2320800210001,TA,2277.54,0.0,3
2320800211001,TA,3987.13,0.0,6
2320800212001,TA,3495.42,0.0,6
2320800213001,TA,7082.23,0.0,11
2320800214001,TA,46520.81,0.0,75
2320800215001,TA,25049.35,0.0,42
2320800216001,TA,16715.39,0.0,27
2320800217001,TA,62913.99,0.0,97
2320800218001,TA,13164.86,0.0,22
2320800219001,TA,3198.55,0.0,5
2320800220001,TA,14756.51,0.0,23
2320800221001,TA,7890.52,0.0,15
2320800222001,TA,4229.93,0.0,6
2320800223001,TA,1260.86,0.0,2
2320800226001,TA,495.86,0.0,1
2320800227001,TA,693.53,0.0,1
2320800229001,TA,7071.79,0.0,12
2320800231001,TA,5075.84,0.0,10
2320800232001,TA,3635.83,0.0,7
2320800233001,TA,2553.81,0.0,4
2320800235001,TA,8588.52,0.0,13
2320800236001,TA,959.06,0.0,2
2320800237001,TA,1319.31,0.0,3
2320800240001,TA,9027.95,0.0,16
2320800243001,TA,5484.21,0.0,9
2320800245001,TA,1051.26,0.0,2
2320800249004,TA,2121.3,0.0,2
2320800249005,TA,1713.43,0.0,4
2320800250001,TA,362.93,0.0,1
2320800251001,TA,7646.31,0.0,12
2320800258001,TA,812.08,0.0,1
2320800259001,TA,3672.54,0.0,5
2320800260001,TA,3819.09,0.0,7
2320800261001,TA,3044.93,0.0,4
2320800262001,TA,1232.62,0.0,2
2320800263001,TA,1157.82,0.0,2
2320800266001,TA,11580.58,0.0,21
2320800267001,TA,4918.93,0.0,7
2320800268001,TA,5227.0,0.0,8
2320800269001,TA,3622.26,0.0,5
2320800271001,TA,2588.74,0.0,3
2320800272001,TA,6605.93,0.0,12
2320800273001,TA,8829.84,0.0,13
2320800274004,TA,326.57,0.0,1
2320800275001,TA,8306.3,0.0,14
2320800277001,TA,11654.44,0.0,20
2320800278001,TA,18877.54,0.0,31
2320800281001,TA,2752.03,0.0,4
2320800282001,TA,2766.17,0.0,4
2320800283001,TA,1854.68,0.0,3
2320800284001,TA,12962.33,0.0,20
2320800285001,TA,4314.21,0.0,7
2320800286001,TA,2535.21,0.0,4
2320800287001,TA,2458.36,0.0,3
2320800288001,TA,444.6,0.0,1
2320800289001,TA,6468.99,0.0,10
2320800290001,TA,6894.37,0.0,9
2320800291001,TA,3219.18,0.0,4
2320800293001,TA,3621.12,0.0,6
2320800294001,TA,4144.67,0.0,7
2320800296001,TA,25044.79,0.0,38
2320800299001,TA,949.68,0.0,1
2320800304001,TA,10346.84,0.0,17
2320800305001,TA,671.48,0.0,1
2320800306001,TA,637.9,0.0,1
2320800307001,TA,570.81,0.0,1
2320800308001,TA,12180.66,0.0,19
2320800308009,TA,731.18,0.0,2
2320800309001,TA,1390.3,0.0,2
2320800310001,TA,717.2,0.0,2
2320800311001,TA,1472.46,0.0,3
2320800312001,TA,1319.98,0.0,2
2320800313001,TA,2623.46,0.0,5
2320800316001,TA,1387.28,0.0,2
2320800317001,TA,933.22,0.0,2
2320800318001,TA,1115.73,0.0,1
2320800319001,TA,1673.1,0.0,3
2320800321001,TA,2568.67,0.0,6
2320800322001,TA,2511.72,0.0,4
2320800323001,TA,1924.19,0.0,3
2320800324001,TA,1402.41,0.0,3
2320800325001,TA,1353.55,0.0,1
2320800327001,TA,692.67,0.0,1
2320800328001,TA,934.37,0.0,1
2320800331001,TA,1910.22,0.0,3
2320800332001,TA,1458.91,0.0,3
2320800333001,TA,2239.6,0.0,5
2320800334001,TA,492.34,0.0,1
2320800335001,TA,3047.78,0.0,5
2320800336001,TA,1293.34,0.0,3
2320800338001,TA,783.98,0.0,2
2320800339001,TA,4790.66,0.0,7
2320800341001,TA,6949.72,0.0,11
2320800342001,TA,6347.99,0.0,10
2320800343001,TA,790.24,0.0,2
2320800345001,TA,1570.44,0.0,2
2320800349001,TA,1360.16,0.0,2
2320800350001,TA,5114.8,0.0,8
2320800352001,TA,3302.77,0.0,6
2320800354001,TA,1857.75,0.0,2
2320800355001,TA,3161.04,0.0,6
2320800356001,TA,2071.56,0.0,4
2320800363001,TA,439.88,0.0,2
2320800368001,TA,1343.18,0.0,3
2320800369001,TA,1199.33,0.0,1
2320800370001,TA,590.89,0.0,1
2320800371001,TA,6602.89,0.0,10
2320800375001,TA,1084.59,0.0,1
2320800380001,TA,1042.35,0.0,1
2320800381001,TA,6904.51,0.0,12
2320800382001,TA,5056.73,0.0,8
2320800384001,TA,1835.0,0.0,3
2320800385001,TA,3053.28,0.0,5
2320800386001,TA,2841.98,0.0,5
2320800387001,TA,2648.04,0.0,3
2320800388001,TA,7625.71,0.0,10
2320800389001,TA,7913.49,0.0,14
2320800390001,TA,2730.62,0.0,5
2320800391001,TA,3324.7,0.0,6
2320800392001,TA,7745.82,0.0,12
2320800394001,TA,1894.72,0.0,3
2320800395001,TA,8076.87,0.0,16
2320800396001,TA,2917.36,0.0,4
2320800397001,TA,1866.24,0.0,3
2320800399001,TA,940.96,0.0,2
2320800401001,TA,1009.29,0.0,1
2320800403001,TA,2640.08,0.0,4
2320800404001,TA,5351.13,0.0,8
2320800405001,TA,4675.74,0.0,6
2320800406001,TA,1904.52,0.0,2
2320800407001,TA,1964.44,0.0,3
2320800408001,TA,5519.03,0.0,10
2320800409001,TA,4990.6,0.0,8
2320800410001,TA,3206.64,0.0,6
2320800411001,TA,5489.45,0.0,9
2320800412001,TA,3100.56,0.0,4
2320800413001,TA,2196.23,0.0,3
2320800414001,TA,4524.92,0.0,8
2320800415001,TA,4541.65,0.0,6
2320800416001,TA,3648.26,0.0,6
2320800417001,TA,3820.1,0.0,7
2320800418001,TA,1924.68,0.0,2
2320800419001,TA,2140.51,0.0,4
2320800420001,TA,2906.95,0.0,5
2320800421001,TA,1080.71,0.0,1
2320800422005,TA,370.04,0.0,1
2320800423001,TA,3050.43,0.0,5
2320800424001,TA,1438.94,0.0,2
2320800425001,TA,622.94,0.0,1
2320800426001,TA,723.18,0.0,1
2320800427001,TA,2108.93,0.0,3
2320800428001,TA,1214.82,0.0,2
2320800429001,TA,761.94,0.0,2
2320800432001,TA,258.27,0.0,1
2320800434001,TA,930.8,0.0,2
2320800436001,TA,1451.88,0.0,2
2320800437001,TA,7186.86,0.0,14
2320800439001,TA,1726.53,0.0,3
2320800441001,TA,2618.46,0.0,5
2320800442001,TA,2300.19,0.0,4
2320800443001,TA,7861.43,0.0,12
2320800445001,TA,1728.11,0.0,3
2320800446001,TA,1577.36,0.0,2
2320800447001,TA,3017.62,0.0,5
2320800448001,TA,7315.43,0.0,12
2320800449003,TA,1331.04,0.0,2
2320800450001,TA,5462.87,0.0,9
2320800452001,TA,1676.37,0.0,2
2320800454001,TA,879.57,0.0,1
2320800455001,TA,4091.1,0.0,6
2320800456001,TA,19157.3,0.0,31
2320800457001,TA,8009.97,0.0,12
2320800458001,TA,1751.93,0.0,2
2320800459001,TA,1591.77,0.0,2
